
روش‌های پیشگیری از بارداری|توضیحات|"پیشگیری از بارداری ناخواسته از جمله حقوق باروری است. هر زنی حق دارد برای تعداد و زمان فرزند‌آوری خود تصمیم بگیرد. تاکنون روش‌ها و وسایل پیشگیری از بارداری بر مسوولیت زنان تأکید داشته اند و مردان از روش طبیعی یا کاندوم استفاده می‌کنند.

 پیشگیری از بارداری شامل وسایل و روش های متعددی است که فرد می تواند برای پیشگیری از حاملگی از آنها استفاده کند. پزشکان، مأمورین بهداشت و سلامت، ماماها و پرستاران می توانند اطلاعات مفیدی راجع به روش‌های جلوگیری از بارداری در اختیار شما قرار دهند. انتخاب روش‌های پیشگیری از بارداری بستگی به عواملی مانند سلامتی فرد، نوع و میزان فعالیت جنسی، تعداد شرکای جنسی و میل به فرزنددار شدن در آینده دارد. میزان اثربخشی بر اساس تخمین های آماری، نکته کلیدی دیگری است. برای انتخاب بهترین روش پیشگیری از بارداری، باید به پزشک، خانه بهداشت یا درمانگاه‌ها مراجعه کنید تا از عوارض هر روش و مزیت‌های آن به خوبی آگاه باشید.

برای مطالعه درباره روش‌های متنوع پیشگیری از بارداری به موضوع‌ها برگردید.
"
|روش پیشگیری طبیعی|روش پیشگیری طبیعی یعنی دوری از نزدیکی در دوره‌ای که تخمک آماده لقاح است. درست است که با اجتناب از نزدیکی جنسی طی دوران تخمک گذاری، می توان از بارداری جلوگیری کرد، اما این روش بسیار نامطمئن است. زیرا هم طول چرخه و هم زمان تخمک گذاری در افراد متفاوت است و هم شرایط محیطی می‌تواند بر طول چرخه قاعدگی و زمان تخمک‌گذاری تأثیر بگذارد. برای تعیین دوره تخمک‌گذاری از روش‌هایی چون اندازه‌گیری و ثبت تغییرات درجه حرارت بدن استفاده می‌شود.
|روش بیرون ریختن اسپرم|اگر مقاربت جنسی قبل از آنکه انزال صورت گیرد قطع شود، ممکن است از بارداری جلوگیری شود، چون اسپرم فرصت تماس با تخمک را پیدا نمی‌کند. اما این روش هم مثل روش پیشگیری طبیعی بسیار نامطمئن است. بعضی از اسپرم‌ها می توانند قبل از آنکه انزال صورت گیرد وارد مهبل شوند. اسپرم موجود روی پوست اطراف مهبل هم می‌تواند وارد مهبل شود. این روش برای پیشگیری از بیماری‌های آمیزشی به هیچ وجه مناسب نیست.
|کاندوم|"کاندوم مردانه یک پوشش لاستیکی نازک است که روی آلت مردانه در حال نعوظ کشیده می شود. پیش از استفاده از کاندوم باید مطمئن شوید که تاریخ مصرف آن نگذشته و سالم باشد. هرگز کاندوم را با دندان یا سایر اشیا تیز باز نکنید، چراکه کوچکترین برشی می‌تواند کارکرد کاندوم را از آن بگیرد. همچنین کاندوم را باید در تمام طول مدت مقاربت جنسی نگه داشت و هرگز از یک کاندوم دو بار استفاده نکرد.  اگر همراه کاندوم از یک کرم یا کف اسپرم‌کش استفاده کنید، اطمینان از پیشگیری از لقاح افزایش میابد. به یاد داشته باشید که کاندوم فقط کاربرد پیشگیری از بارداری ندارد و شما را از انتقال بسیاری از بیماری‌های مقاربتی نیز محافظت می‌کند. در رابطه‌های جنسی مقعدی، حتماً از کاندوم استفاده کنید.

کاندوم‌های زنانه نوع دیگری از کاندوم‌ها هستند که برای مصرف زنان تولید شده‌اند و در مهبل قرار می‌گیرند تا مانع ورود اسپرم به رحم شوند. این کاندوم می تواند پیش‌ از آغاز رابطه جنسی کارگذاشته شود و پس از انزال خارج شود. این کاندوم هم از انتقال بسیاری از بیماری‌های مقاربتی پیشگیری می‌کند. به یاد داشته باشید با بریدن کاندوم‌ها به شکل یه صفحه مسطح، می‌توانید از آن به عنوان لایه محافظی در مقاربت‌های دهانی استفاده کنید و مانع انتقال بیماری‌ها شوید.
"
|قرص های ضد بارداری|"قرص های ضد بارداری معمولی بیش از ۴٠ سال است که به بازار عرضه شده اند. آنها حاوی دو نوع هورمون ترکیبی مختلف هستند: استروژن و پروژستوژن. این دو هورمون انسانی از هورمون‌هایی که توسط تخمدان ساخته می شود تقلید می کنند. قرص‌های ضد بارداری مختلف ترکیبات گوناگونی دارند و اثراتی هم بر مکانیزم هورمونی شما دارند. به شما پیشنهاد می‌کنیم برای انتخاب قرص‌ ضدبارداری حتماً با پزشک خود مشورت کنید.

قرص های ضد بارداری مانع از تخمک گذاری و چسبیدن تخمک به بافت دیواره رحم می‌شوند. چنانچه از قرص‌های ضدبارداری به درستی استفاده کنید، می‌توانید تا درصد بالایی از بارداری ناخواسته پیشگیری کنید. توجه داشته باشید که زنان سیگاری بالای ٣٥ سال یا زنان مبتلا به لخته خون، سرطان پستان، حمله قلبی یا سایر بیماری‌های قلبی و بیماری‌های کبدی نباید قرص‌های ضدبارداری مصرف کنند. هم اکنون در ایران چندین نوع قرص پیشگیری از بارداری در دسترس است و مجدداً یادآوری می‌کنیم که برای انتخاب درست قرص‌های مورد استفاده باید حتماً با پزشک خود مشورت کنید تا دچار کمترین عوارض شوید. همدم برای شما امکان تنظیم یادآوری‌های روزانه خوردن قرص‌های ضدبارداری را فراهم کرده است."
|تزریق آمپول‌های ضدبارداری |"آمپول دپوچروورا (Depo-provera) که نام ژنريک آن مدروکسي پروژسترون استاب است حاوی پروژسترون است و تزريق آن باعث می‌شود  در دوره ۱۲ هفته از بارداری پیشگیری شود. اين آمپول به نام DMPA نيز معروف است و حدود ۳۰ سال است که استفاده از آن در جهان شروع شده است.  آمپول دپوپروورا باعث توقف آزاد شدن تخمک از تخمدان‌ها می‌شود و همچنين باعث غليظ شدن ترشحات رحم شده و نمی‌گذارد اسپرم به خوبي حرکت کند و به تخمک برسد. تزریق این آمپول‌ها یکی از ساده‌ترین و امن‌ترین روش‌های پیشگیری از بارداری است، اما مهم است که با پزشک خود در این مورد مشورت کنید تا از عوارض جانبی آن با خبر باشید.  اکثر زنان می‌توانند بدون هيچ مشکلي از اين آمپول استفاده کنند اما اگر واجد یکی از شرایط زیر هستید، لطفاً قبل از استفاده از اين آمپول‌ها، اين موارد را به اطلاع پزشک خود برسانيد:

در صورتي که حامله هستيد، در صورتي که به نوزاد خود شير می‌دهيد،در صورتي که خونريزی‌های واژنی نامنظم و غير معمول دارید، در صورتي که سابقه سکته دارید، در صورتي که سابقه لخته شدن خون در رگهاي پاهايتان داشته‌ايد، در صورتي که بيماري کبدي داريد، در صورتی که بيماری قلبی يا کليوی داريد و در صورتي که سابقه افسردگي شديد دارید.
"
|کپسول های ضد بارداری زیر پوستی|این نوع کپسول ها تقریباً اندازه چوب کبریت و حاوی هورمون پروژستوژن ترکیبی هستند. آنها زیر پوست بازو کاشته می‌شوند و بسته به نوع کپسول بین سه تا پنج سال کارکرد دارند. کاشت و هم خارج کردن این کپسول‌ها در مطب پزشک یا پرستاری که دوره دیده‌ است انجام می‌گیرد. کپسول های کاشته شده مانع از تخمک‌گذاری می‌شوند و با تأثیر بر مخاط گردن رحم از رسیدن اسپرم به لوله‌های فالوپ (مجاری عبور تخمک) جلوگیری می‌کنند. کپسول‌های ضدبارداری قابل کاشت وسیله مطمئنی برای جلوگیری از بارداری هستند.
|حلقه های مسی یا آی یو دی IUD|"حلقه مسی که به سیستم درون رحمی آی یو اس (IUS) یا دستگاه درون رحمی آی یو دی  (IUD) نیز معروف است توسط پزشک در رحم قرار داده می شود. این حلقه حاوی مس است و مانع  چسبیدن تخمک بارور شده به رحم و همچنین مانع از حرکت اسپرم در رحم می‌شود و بدین ترتیب به وسیله‌ای مطمئن برای پیشگیری از بارداری به مدت پنج تا ده سال  تبدیل می‌شود. این وسیله ممکن است به پریود شدیدتر و یا توأم با درد منجر شود و یا دردهای پیش از قاعدگی و طول پریود را کاهش دهد.
"
|دیافراگم یا سرپوش|دیافراگم یا سرپوش، پوششی از جنس لاستیک و با خاصیت کشسانی است که در دهانه واژن قرار می‌گیرد تا گردن رحم و دهانه زهدان را بپوشاند. دیافراگم یا سرپوش در اندازه‌های مختلف عرضه می شود، اما اندازه آن باید توسط پزشک تعیین شود. دیافراگم باید به همراه کرم اسپرم کش مورد استفاده قرار گیرد. دیافراگم را می‌توان پیش از هر نزدیکی جنسی در مهبل قرار داد، اما توجه کنید که دیافراگم باید حتماً حداقل شش ساعت بعد از نزدیکی در مهبل بماند. از آنجا که دیافراگم بصورت فیزیکی از عبور اسپرم جلوگیری می‌کند، اکثر زنان می‌توانند از آن به عنوان یک وسیله مطمئن پیشگیری از بارداری استفاده کنند.
|اسپرم کش ها|"اسپرم‌کش‌ها به همراه کاندوم یا دیافراگم مورد استفاده قرار می‌گیرند و به تنهایی وسیله مناسبی برای جلوگیری از بارداری نیستند. آنها به شکل کرم، کف، ژل، یا شیاف تولید و عرضه می شوند. اسپرم‌کش‌ها عوارض جانبی بسیار کمی دارند اما لازم است برای استفاده صحیح از این مواد راهنمای استفاده را دقیق بخوانید.
"
